names,image_url
tom aspinall,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/ASPINALL_TOM_L_BELTMOCK.png?itok=b-8iWaRT
bruno assis,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
raphael assuncao,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/ASSUNCAO_RAPHAEL_L_03-11.png?itok=ioT5bUHj
junior assuncao,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
rich attonito,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
olivier aubin mercier,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-12/AUBIN-MERCIER_OLIVIER_L.png?VersionId=OKFi4jt84PKGKM1d56QfcRjjuancF3n8&itok=sebDlCaQ
pat audinwood,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
jose augusto,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
leonardo augusto leleco,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e691a598-eeac-46f7-970d-053fe89e0fa7%252FLeonardo-Augusto-Guimaraes_573986_LeftFullBodyImage.png?itok=aERAiTtQ
marcus aurelio,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
